0.57	   2.1857000e-01  -7.3000000e-04   1.8906000e-01  -3.8131000e-01  -3.4040000e-01   2.9634000e-01   7.7879000e-01
0.58	   2.1767000e-01   4.0000000e-04   1.9217000e-01  -3.7796000e-01  -3.3583000e-01   2.9648000e-01   7.7568000e-01
0.59	   2.1677000e-01   1.5800000e-03   1.9530000e-01  -3.7451000e-01  -3.3115000e-01   2.9665000e-01   7.7249000e-01
0.6	   2.1586000e-01   2.7800000e-03   1.9846000e-01  -3.7095000e-01  -3.2636000e-01   2.9685000e-01   7.6922000e-01
0.61	   2.1494000e-01   4.0300000e-03   2.0164000e-01  -3.6728000e-01  -3.2146000e-01   2.9707000e-01   7.6588000e-01
0.62	   2.1402000e-01   5.3100000e-03   2.0482000e-01  -3.6350000e-01  -3.1646000e-01   2.9732000e-01   7.6246000e-01
0.63	   2.1309000e-01   6.6300000e-03   2.0802000e-01  -3.5961000e-01  -3.1134000e-01   2.9760000e-01   7.5897000e-01
0.64	   2.1215000e-01   7.9900000e-03   2.1122000e-01  -3.5561000e-01  -3.0613000e-01   2.9791000e-01   7.5540000e-01
0.65	   2.1121000e-01   9.3900000e-03   2.1443000e-01  -3.5150000e-01  -3.0081000e-01   2.9825000e-01   7.5177000e-01
0.66	   2.1027000e-01   1.0830000e-02   2.1762000e-01  -3.4728000e-01  -2.9539000e-01   2.9863000e-01   7.4806000e-01
0.67	   2.0933000e-01   1.2310000e-02   2.2081000e-01  -3.4296000e-01  -2.8987000e-01   2.9904000e-01   7.4429000e-01
0.68	   2.0839000e-01   1.3830000e-02   2.2399000e-01  -3.3852000e-01  -2.8425000e-01   2.9949000e-01   7.4045000e-01
0.69	   2.0745000e-01   1.5380000e-02   2.2715000e-01  -3.3397000e-01  -2.7854000e-01   2.9998000e-01   7.3655000e-01
0.7	   2.0651000e-01   1.6980000e-02   2.3028000e-01  -3.2932000e-01  -2.7274000e-01   3.0050000e-01   7.3258000e-01
0.71	   2.0558000e-01   1.8620000e-02   2.3338000e-01  -3.2456000e-01  -2.6684000e-01   3.0107000e-01   7.2856000e-01
0.72	   2.0465000e-01   2.0300000e-02   2.3645000e-01  -3.1968000e-01  -2.6086000e-01   3.0168000e-01   7.2448000e-01
0.73	   2.0373000e-01   2.2020000e-02   2.3948000e-01  -3.1471000e-01  -2.5478000e-01   3.0233000e-01   7.2035000e-01
0.74	   2.0282000e-01   2.3780000e-02   2.4246000e-01  -3.0962000e-01  -2.4863000e-01   3.0302000e-01   7.1616000e-01
0.75	   2.0191000e-01   2.5590000e-02   2.4539000e-01  -3.0443000e-01  -2.4239000e-01   3.0377000e-01   7.1192000e-01
0.76	   2.0102000e-01   2.7440000e-02   2.4827000e-01  -2.9914000e-01  -2.3608000e-01   3.0456000e-01   7.0764000e-01
0.77	   2.0014000e-01   2.9320000e-02   2.5108000e-01  -2.9374000e-01  -2.2969000e-01   3.0539000e-01   7.0331000e-01
0.78	   1.9927000e-01   3.1260000e-02   2.5383000e-01  -2.8824000e-01  -2.2322000e-01   3.0628000e-01   6.9895000e-01
0.79	   1.9842000e-01   3.3230000e-02   2.5651000e-01  -2.8264000e-01  -2.1669000e-01   3.0723000e-01   6.9454000e-01
0.8	   1.9758000e-01   3.5250000e-02   2.5910000e-01  -2.7694000e-01  -2.1009000e-01   3.0822000e-01   6.9010000e-01
0.81	   1.9676000e-01   3.7310000e-02   2.6161000e-01  -2.7115000e-01  -2.0342000e-01   3.0927000e-01   6.8562000e-01
0.82	   1.9596000e-01   3.9410000e-02   2.6404000e-01  -2.6525000e-01  -1.9669000e-01   3.1037000e-01   6.8112000e-01
0.83	   1.9518000e-01   4.1550000e-02   2.6637000e-01  -2.5927000e-01  -1.8991000e-01   3.1153000e-01   6.7659000e-01
0.84	   1.9442000e-01   4.3740000e-02   2.6859000e-01  -2.5319000e-01  -1.8307000e-01   3.1275000e-01   6.7204000e-01
0.85	   1.9369000e-01   4.5980000e-02   2.7071000e-01  -2.4702000e-01  -1.7618000e-01   3.1402000e-01   6.6748000e-01
0.86	   1.9298000e-01   4.8250000e-02   2.7272000e-01  -2.4076000e-01  -1.6924000e-01   3.1536000e-01   6.6289000e-01
